student_id,course_id,grade
STUDENT81,7,5
STUDENT57,4,4
STUDENT23,8,3
STUDENT15,8,6
STUDENT58,9,1
STUDENT127,8,6
STUDENT48,5,4
STUDENT39,1,5
STUDENT125,4,0
STUDENT66,1,5
STUDENT28,2,0
STUDENT49,9,7
STUDENT16,4,3
STUDENT79,7,2
STUDENT144,3,1
STUDENT46,5,4
STUDENT88,8,0
STUDENT9,7,5
STUDENT35,9,1
STUDENT30,7,5
STUDENT134,6,6
STUDENT27,6,0
STUDENT142,9,6
STUDENT139,2,4
STUDENT28,9,1
STUDENT3,7,6
STUDENT9,7,4
STUDENT48,5,7
STUDENT2,9,5
STUDENT74,5,3
STUDENT17,3,0
STUDENT38,6,4
STUDENT9,4,3
STUDENT136,3,2
STUDENT119,4,0
STUDENT134,9,7
STUDENT140,4,7
STUDENT110,8,3
STUDENT38,3,0
STUDENT114,3,7
STUDENT37,6,1
STUDENT78,2,6
STUDENT78,9,1
STUDENT142,9,5
STUDENT19,3,4
STUDENT48,2,1
STUDENT24,8,2
STUDENT138,6,4
STUDENT124,8,4
STUDENT109,4,4
STUDENT16,3,3
STUDENT25,6,2
STUDENT5,2,7
STUDENT34,3,3
STUDENT99,5,2
STUDENT37,9,1
STUDENT115,5,1
STUDENT99,6,1
STUDENT124,8,6
STUDENT117,2,6
STUDENT135,3,1
STUDENT75,7,7
STUDENT40,9,1
STUDENT88,9,7
STUDENT105,6,3
STUDENT59,8,6
STUDENT114,9,7
STUDENT61,3,1
STUDENT120,7,7
STUDENT44,5,4
STUDENT46,7,1
STUDENT70,9,4
STUDENT61,6,6
STUDENT80,4,4
STUDENT52,4,5
STUDENT30,3,3
STUDENT53,5,0
STUDENT143,4,1
STUDENT112,7,0
STUDENT100,3,6
STUDENT112,9,7
STUDENT58,6,0
STUDENT135,6,3
STUDENT32,2,3
STUDENT64,7,4
STUDENT133,5,5
STUDENT104,5,2
STUDENT29,8,0
STUDENT78,7,0
STUDENT138,4,0
STUDENT75,6,3
STUDENT99,2,2
STUDENT125,9,3
STUDENT51,8,6
STUDENT18,8,3
STUDENT135,7,0
STUDENT18,8,1
STUDENT85,8,1
STUDENT89,4,1
STUDENT96,8,1
STUDENT67,3,4
STUDENT110,5,3
STUDENT22,8,5
STUDENT72,5,7
STUDENT129,1,2
STUDENT2,9,6
STUDENT112,7,6
STUDENT26,3,0
STUDENT135,9,2
STUDENT25,8,4
STUDENT104,5,6
STUDENT90,3,5
STUDENT97,2,7
STUDENT30,4,1
STUDENT46,5,1
STUDENT18,4,6
STUDENT111,7,4
STUDENT85,7,2
STUDENT78,4,1
STUDENT64,1,2
STUDENT58,7,1
STUDENT91,4,7
STUDENT92,1,3
STUDENT79,2,7
STUDENT45,9,2
STUDENT81,9,1
STUDENT2,6,2
STUDENT51,3,4
STUDENT41,4,7
STUDENT82,9,5
STUDENT45,9,3
STUDENT145,7,4
STUDENT142,1,0
STUDENT98,2,3
STUDENT124,2,5
STUDENT81,7,1
STUDENT109,4,3
STUDENT3,1,1
STUDENT134,5,0
STUDENT49,7,5
STUDENT123,3,7
STUDENT52,4,5
STUDENT43,8,6
STUDENT25,8,7
STUDENT144,4,3
STUDENT31,6,0
STUDENT9,5,4
STUDENT43,1,5
STUDENT140,4,5
STUDENT133,8,6
STUDENT21,6,7
STUDENT96,2,0
STUDENT63,7,0
STUDENT129,3,7
STUDENT5,4,6
STUDENT27,6,0
STUDENT130,2,3
STUDENT43,7,4
STUDENT45,3,6
STUDENT90,6,5
STUDENT141,6,4
STUDENT99,1,2
STUDENT113,2,7
STUDENT47,9,3
STUDENT125,9,7
STUDENT34,4,4
STUDENT89,2,1
STUDENT14,6,3
STUDENT124,6,6
STUDENT44,9,0
STUDENT90,4,6
STUDENT28,2,0
STUDENT14,1,3
STUDENT72,3,5
STUDENT80,3,7
STUDENT98,5,6
STUDENT94,5,6
STUDENT28,8,0
STUDENT78,3,0
STUDENT88,3,1
STUDENT29,4,0
STUDENT8,6,5
STUDENT91,9,2
STUDENT94,2,7
STUDENT25,3,5
STUDENT16,8,1
STUDENT115,8,1
STUDENT141,9,0
STUDENT28,3,1
STUDENT143,8,6
STUDENT114,3,2
STUDENT99,1,5
STUDENT118,4,4
STUDENT80,5,0
STUDENT111,5,3
STUDENT38,6,0
STUDENT42,6,6
STUDENT114,5,6
STUDENT139,2,1
STUDENT145,6,5
STUDENT120,2,3
STUDENT43,2,4
STUDENT1,6,4
STUDENT1,1,0
STUDENT130,8,6
STUDENT86,7,2
STUDENT141,1,2
STUDENT83,5,1
STUDENT28,6,2
STUDENT120,4,5
STUDENT36,1,3
STUDENT29,8,0
STUDENT83,1,7
STUDENT102,3,2
STUDENT10,9,0
STUDENT131,9,0
STUDENT52,5,6
STUDENT94,5,6
STUDENT99,4,4
STUDENT94,8,2
STUDENT107,5,0
STUDENT126,2,7
STUDENT110,1,2
STUDENT78,7,0
STUDENT60,7,5
STUDENT32,3,0
STUDENT125,6,1
STUDENT58,9,6
STUDENT39,2,1
STUDENT26,2,3
STUDENT26,2,1
STUDENT114,2,6
STUDENT32,1,6
STUDENT38,1,5
STUDENT127,5,6
STUDENT64,7,5
STUDENT100,3,7
STUDENT141,5,1
STUDENT84,9,5
STUDENT42,2,4
STUDENT15,6,6
STUDENT130,7,4
STUDENT28,8,5
STUDENT121,6,2
STUDENT71,1,2
STUDENT6,7,5
STUDENT138,4,2
STUDENT78,6,4
STUDENT40,3,6
STUDENT21,2,1
STUDENT24,3,1
STUDENT42,6,2
STUDENT87,1,6
STUDENT77,3,1
STUDENT35,3,7
STUDENT71,9,7
STUDENT99,7,1
STUDENT10,1,7
STUDENT40,4,3
STUDENT93,3,2
STUDENT39,7,6
STUDENT81,7,3
STUDENT66,6,5
STUDENT65,2,2
STUDENT106,7,1
STUDENT120,2,7
STUDENT117,9,3
STUDENT29,8,1
STUDENT2,8,4
STUDENT97,6,2
STUDENT130,9,1
STUDENT85,4,1
STUDENT127,7,7
STUDENT109,8,6
STUDENT127,9,3
STUDENT56,7,2
STUDENT122,7,2
STUDENT24,8,7
STUDENT55,4,3
STUDENT3,3,1
STUDENT127,3,1
STUDENT61,4,4
STUDENT89,9,6
STUDENT46,2,2
STUDENT81,4,2
STUDENT114,2,1
STUDENT79,4,0
STUDENT52,6,6
STUDENT20,9,5
STUDENT66,1,6
STUDENT87,1,7
STUDENT37,9,0
STUDENT66,3,3
STUDENT25,6,3
STUDENT140,6,3
STUDENT120,8,1
STUDENT15,3,1
STUDENT79,7,6
STUDENT31,6,2
STUDENT136,5,3
STUDENT19,4,3
STUDENT94,5,4
STUDENT127,1,2
STUDENT17,8,6
STUDENT33,3,0
STUDENT117,2,3
STUDENT136,6,4
STUDENT16,7,6
STUDENT60,6,5
STUDENT110,2,2
STUDENT94,3,0
STUDENT92,3,4
STUDENT7,3,2
STUDENT20,7,0
STUDENT66,8,7
STUDENT81,5,6
STUDENT17,2,4
STUDENT58,8,1
STUDENT50,2,3
STUDENT140,4,5
STUDENT80,1,7
STUDENT73,6,4
STUDENT29,8,2
STUDENT61,9,4
STUDENT97,3,7
STUDENT44,4,2
STUDENT58,9,2
STUDENT132,6,5
STUDENT22,4,2
STUDENT119,5,0
STUDENT21,9,4
STUDENT6,6,2
STUDENT103,4,1
STUDENT115,7,5
STUDENT21,6,2
STUDENT43,2,5
STUDENT74,8,1
STUDENT113,4,1
STUDENT104,1,7
STUDENT48,7,5
STUDENT14,1,7
STUDENT25,5,1
STUDENT32,6,6
STUDENT138,3,0
STUDENT142,6,5
STUDENT40,5,4
STUDENT123,9,2
STUDENT37,1,1
STUDENT128,8,5
STUDENT23,6,4
STUDENT51,7,0
STUDENT70,1,4
STUDENT101,1,7
STUDENT122,7,4
STUDENT23,7,6
STUDENT113,1,7
STUDENT55,7,1
STUDENT23,9,3
STUDENT60,1,5
STUDENT1,3,5
STUDENT13,4,1
STUDENT138,5,2
STUDENT122,4,0
STUDENT95,6,5
STUDENT36,5,1
STUDENT105,4,6
STUDENT4,7,6
STUDENT23,4,7
STUDENT50,7,1
STUDENT31,3,1
STUDENT103,5,4
STUDENT3,3,6
STUDENT134,9,2
STUDENT69,1,7
STUDENT87,3,1
STUDENT37,4,3
STUDENT46,6,6
STUDENT138,1,5
STUDENT56,1,2
STUDENT20,5,1
STUDENT84,6,3
STUDENT55,8,4
STUDENT90,6,2
STUDENT23,4,4
STUDENT136,9,5
STUDENT6,9,6
STUDENT30,9,0
STUDENT127,3,0
STUDENT128,7,1
STUDENT45,2,6
STUDENT29,1,0
STUDENT141,6,6
STUDENT20,2,1
STUDENT127,8,5
STUDENT46,2,6
STUDENT61,1,4
STUDENT144,7,1
STUDENT71,8,4
STUDENT115,4,0
STUDENT99,5,7
STUDENT52,4,6
STUDENT96,1,0
STUDENT70,1,3
STUDENT140,8,7
STUDENT103,2,1
STUDENT81,8,4
STUDENT127,6,3
STUDENT40,2,1
STUDENT134,2,7
STUDENT68,2,5
STUDENT18,6,5
STUDENT30,4,3
STUDENT111,9,2
STUDENT40,8,0
STUDENT107,3,2
STUDENT48,3,3
STUDENT139,5,0
STUDENT118,1,0
STUDENT127,5,3
STUDENT29,1,0
STUDENT95,9,3
STUDENT92,7,1
STUDENT66,5,3
STUDENT46,2,7
STUDENT60,2,0
STUDENT124,9,3
STUDENT85,4,1
STUDENT43,5,2
STUDENT66,4,2
STUDENT102,1,7
STUDENT11,7,1
STUDENT7,1,5
STUDENT137,9,5
STUDENT81,5,7
STUDENT72,1,4
STUDENT137,5,3
STUDENT24,5,3
STUDENT31,1,3
STUDENT102,2,4
STUDENT43,3,5
STUDENT92,8,7
STUDENT91,3,5
STUDENT104,9,6
STUDENT1,2,2
STUDENT103,8,3
STUDENT19,4,4
STUDENT54,2,7
STUDENT83,9,5
STUDENT13,5,4
STUDENT97,4,2
STUDENT74,2,6
STUDENT24,6,2
STUDENT51,8,7
STUDENT1,7,6
STUDENT116,5,2
STUDENT4,8,4
STUDENT62,3,7
STUDENT58,5,3
STUDENT114,2,5
STUDENT67,5,6
STUDENT112,9,7
STUDENT15,6,3
STUDENT30,9,1
STUDENT1,5,0
STUDENT58,8,7
STUDENT81,7,7
STUDENT5,2,2
STUDENT9,6,3
STUDENT108,2,6
STUDENT4,9,6
STUDENT145,9,5
STUDENT121,9,5
STUDENT127,8,1
STUDENT97,3,3
STUDENT140,4,1
STUDENT118,2,3
STUDENT101,9,5
STUDENT48,8,7
STUDENT95,5,7
STUDENT120,4,4
STUDENT66,6,2
STUDENT87,9,1
STUDENT63,6,2
STUDENT117,4,6
STUDENT22,7,3
STUDENT35,7,3
STUDENT141,1,1
STUDENT133,2,1
STUDENT84,8,7
STUDENT71,8,2
STUDENT4,7,0
STUDENT7,4,2
STUDENT130,7,7
STUDENT30,4,2
STUDENT53,1,1
STUDENT91,4,3
STUDENT107,9,5
STUDENT50,1,4
STUDENT9,6,6
STUDENT113,8,3
STUDENT70,3,3
STUDENT138,8,7
STUDENT76,8,0
STUDENT100,4,5
STUDENT62,9,4
STUDENT29,3,1
STUDENT21,7,4
STUDENT67,3,2
STUDENT18,9,7
STUDENT94,5,1
STUDENT144,5,3
STUDENT144,2,5
STUDENT30,2,2
STUDENT130,7,0
STUDENT116,7,5
STUDENT32,7,7
STUDENT20,4,4
STUDENT73,3,2
STUDENT100,5,6
STUDENT29,6,1
STUDENT50,1,5
STUDENT136,4,0
STUDENT9,1,4
STUDENT100,1,1
STUDENT23,2,2
STUDENT56,8,2
STUDENT15,2,5
STUDENT39,4,0
STUDENT128,8,0
STUDENT116,5,5
STUDENT108,4,4
STUDENT65,8,1
STUDENT49,8,6
STUDENT104,9,7
STUDENT130,9,6
STUDENT41,9,7
STUDENT97,5,4
STUDENT103,3,7
STUDENT77,7,1
STUDENT116,4,5
STUDENT83,9,0
STUDENT104,3,0
STUDENT46,8,4
STUDENT91,9,3
STUDENT75,2,5
STUDENT138,8,1
STUDENT51,9,1
STUDENT49,9,7
STUDENT75,2,2
STUDENT2,5,6
STUDENT30,4,7
STUDENT120,5,1
STUDENT28,8,1
STUDENT130,2,5
STUDENT88,7,3
STUDENT83,5,6
STUDENT5,8,0
STUDENT63,7,3
STUDENT118,2,1
STUDENT80,6,1
STUDENT26,5,6
STUDENT85,3,1
STUDENT131,5,2
STUDENT56,8,4
STUDENT108,7,3
STUDENT48,5,0
STUDENT22,2,2
STUDENT96,2,5
STUDENT14,1,3
STUDENT10,5,0
STUDENT23,5,1
STUDENT86,3,3
STUDENT125,2,7
STUDENT84,9,4
STUDENT14,5,6
STUDENT74,7,7
STUDENT123,4,7
STUDENT113,9,3
STUDENT24,5,7
STUDENT73,4,0
STUDENT64,4,3
STUDENT33,9,0
STUDENT81,4,0
STUDENT54,2,2
STUDENT74,7,5
STUDENT74,6,3
STUDENT6,3,6
STUDENT16,7,5
STUDENT79,5,7
STUDENT4,9,3
STUDENT71,9,6
STUDENT5,2,1
STUDENT100,3,0
STUDENT113,7,7
STUDENT144,4,2
STUDENT40,4,0
STUDENT70,4,3
STUDENT59,3,0
STUDENT93,5,7
STUDENT98,2,4
STUDENT109,9,6
STUDENT33,7,7
STUDENT41,9,6
STUDENT3,4,5
STUDENT126,6,4
STUDENT111,5,6
STUDENT3,9,4
STUDENT28,5,3
STUDENT141,2,1
STUDENT10,3,3
STUDENT128,5,7
STUDENT116,4,2
STUDENT107,6,1
STUDENT56,7,6
STUDENT33,4,2
STUDENT3,7,1
STUDENT16,9,1
STUDENT91,1,7
STUDENT87,3,5
STUDENT87,4,4
STUDENT74,3,1
STUDENT60,2,3
STUDENT54,7,1
STUDENT118,7,6
STUDENT113,8,1
STUDENT40,1,2
STUDENT127,4,7
STUDENT130,6,3
STUDENT125,1,3
STUDENT117,8,0
STUDENT77,9,5
STUDENT114,6,2
STUDENT66,4,3
STUDENT108,2,1
STUDENT39,8,5
STUDENT105,1,4
STUDENT138,9,6
STUDENT60,4,2
STUDENT104,3,4
STUDENT42,3,6
STUDENT3,5,0
STUDENT67,8,3
STUDENT76,9,7
STUDENT144,6,3
STUDENT143,1,5
STUDENT142,3,1
STUDENT49,9,7
STUDENT16,1,0
STUDENT71,9,3
STUDENT138,4,7
STUDENT101,7,5
STUDENT97,9,1
STUDENT16,4,6
STUDENT75,3,6
STUDENT102,4,5
STUDENT5,3,3
STUDENT20,8,4
STUDENT51,9,2
STUDENT67,6,7
STUDENT38,5,0
STUDENT87,8,5
STUDENT97,5,4
STUDENT115,7,4
STUDENT55,5,7
STUDENT75,4,5
STUDENT59,8,2
STUDENT48,2,1
STUDENT132,3,1
STUDENT143,3,6
STUDENT102,2,0
STUDENT57,1,4
STUDENT102,6,4
STUDENT27,8,1
STUDENT43,5,7
STUDENT62,2,4
STUDENT35,5,2
STUDENT144,3,7
STUDENT13,2,7
STUDENT9,2,0
STUDENT142,2,1
STUDENT131,3,1
STUDENT21,4,6
STUDENT116,2,1
STUDENT136,9,7
STUDENT23,9,1
STUDENT24,3,3
STUDENT95,6,4
STUDENT43,7,6
STUDENT73,1,3
STUDENT78,5,0
STUDENT17,8,7
STUDENT72,9,5
STUDENT127,6,0
STUDENT145,7,6
STUDENT41,6,0
STUDENT117,1,2
STUDENT28,4,2
STUDENT70,4,7
STUDENT107,3,2
STUDENT143,6,7
STUDENT106,3,5
STUDENT135,4,4
STUDENT77,1,2
STUDENT75,6,4
STUDENT127,4,3
STUDENT21,6,7
STUDENT10,3,1
STUDENT87,6,1
STUDENT22,8,3
STUDENT58,2,0
STUDENT3,6,6
STUDENT68,3,5
STUDENT15,5,5
STUDENT39,1,3
STUDENT79,7,7
STUDENT128,3,1
STUDENT100,7,0
STUDENT118,6,4
STUDENT78,3,6
STUDENT2,5,5
STUDENT17,9,4
STUDENT135,1,5
STUDENT35,3,2
STUDENT94,1,3
STUDENT113,7,2
STUDENT135,6,1
STUDENT55,5,4
STUDENT90,6,7
STUDENT27,4,5
STUDENT136,5,6
STUDENT56,6,6
STUDENT38,6,5
STUDENT86,9,2
STUDENT23,1,2
STUDENT105,8,2
STUDENT128,7,2
STUDENT76,3,7
STUDENT30,3,6
STUDENT93,6,7
STUDENT129,4,7
STUDENT58,5,4
STUDENT106,5,6
STUDENT35,6,4
STUDENT16,2,2
STUDENT67,7,0
STUDENT34,7,5
STUDENT27,8,3
STUDENT59,1,2
STUDENT20,9,7
STUDENT139,3,6
STUDENT1,4,1
STUDENT51,6,6
STUDENT80,9,5
STUDENT97,8,0
STUDENT128,4,3
STUDENT73,8,1
STUDENT86,6,5
STUDENT123,8,3
STUDENT95,5,5
STUDENT1,2,7
STUDENT95,7,0
STUDENT109,7,0
STUDENT145,2,4
STUDENT12,8,0
STUDENT102,8,7
STUDENT39,3,0
STUDENT22,3,0
STUDENT30,7,6
STUDENT102,9,0
STUDENT36,9,2
STUDENT20,9,0
STUDENT119,4,4
STUDENT11,2,2
STUDENT45,3,6
STUDENT41,8,7
STUDENT68,3,4
STUDENT139,4,7
STUDENT139,7,4
STUDENT33,5,7
STUDENT49,7,1
STUDENT133,3,5
STUDENT123,4,0
STUDENT101,1,3
STUDENT137,8,4
STUDENT123,9,4
STUDENT46,1,3
STUDENT81,4,5
STUDENT124,7,3
STUDENT52,1,7
STUDENT72,7,5
STUDENT133,3,0
STUDENT39,8,7
STUDENT87,5,4
STUDENT72,4,5
STUDENT86,3,5
STUDENT103,8,5
STUDENT70,2,3
STUDENT47,9,0
STUDENT142,4,2
STUDENT5,9,3
STUDENT136,1,7
STUDENT76,1,7
STUDENT94,2,2
STUDENT95,6,5
STUDENT31,4,3
STUDENT122,1,3
STUDENT94,1,5
STUDENT145,1,3
STUDENT35,1,2
STUDENT75,5,6
STUDENT58,9,6
STUDENT56,6,4
STUDENT95,7,2
STUDENT77,6,1
STUDENT16,1,3
STUDENT98,7,7
STUDENT9,7,4
STUDENT135,2,4
STUDENT92,2,7
STUDENT71,9,0
STUDENT42,7,7
STUDENT38,6,3
STUDENT128,9,4
STUDENT143,5,1
STUDENT120,3,2
STUDENT128,2,7
STUDENT144,9,4
STUDENT93,6,2
STUDENT34,6,7
STUDENT115,2,2
STUDENT10,6,1
STUDENT121,9,1
STUDENT95,9,3
STUDENT56,7,4
STUDENT79,4,0
STUDENT63,3,2
STUDENT64,8,4
STUDENT119,2,3
STUDENT124,1,3
STUDENT118,6,5
STUDENT99,9,3
STUDENT90,3,3
STUDENT66,4,2
STUDENT37,1,7
STUDENT94,2,7
STUDENT34,8,7
STUDENT59,5,4
STUDENT69,7,1
STUDENT82,6,2
